Date,Away Team,Home Team,Field (Links to Google Maps),Time
"Fri,Oct. 10",Tantramar Regional Titansÿ52,Bernice MacNaughton Highlandersÿ23,McKenna Field (BMHS),7:00 PM
"Fri,Oct. 10",Harrison Trimble Trojansÿ31,Moncton Purple Knightsÿ7,Rocky Stone,7:00 PM
"Fri,Oct. 10",Kennebecasis Valley Blue Knightsÿ32,Oromocto Bluesÿ0,L. Washburn,7:00 PM
"Fri,Oct. 10",St. Malachy's Memorial Saintsÿ7,Saint John Greyhoundsÿ14,Canada Games,7:00 PM
"Fri,Oct. 10",Leo Hayes Lionsÿ44,Fredericton Black Katsÿ12,BMO Field,7:00 PM
"Fri,Oct. 17",Mathieu-Martin Matadorsÿ9,Harrison Trimble Trojansÿ10,Woody Hayes,7:00 PM
"Fri,Oct. 17",Fredericton Black Katsÿ38,Ecole Sainte-Anne Castors (Beavers)ÿ7,Scotia Pk South,7:00 PM
"Fri,Oct. 17",Saint John Greyhoundsÿ23,Leo Hayes Lionsÿ28,Scotia Pk North,7:00 PM
"Fri,Oct. 17",Oromocto Bluesÿ12,St. Malachy's Memorial Saintsÿ48,Canada Games,7:00 PM
"Fri,Oct. 24",Moncton Purple Knightsÿ6,Harrison Trimble Trojansÿ2,Woody Hayes,7:00 PM
"Fri,Oct. 24",St. Malachy's Memorial Saintsÿ26,Leo Hayes Lionsÿ23,Scotia Pk North,7:00 PM
"Fri,Oct. 24",Fredericton Black Katsÿ20,Saint John Greyhoundsÿ27,Canada Games,7:00 PM
"Fri,Oct. 3",Leo Hayes Lionsÿ22,St. Malachy's Memorial Saintsÿ15,Canada Games,7:00 PM
"Fri,Oct. 3",Ecole Sainte-Anne Castors (Beavers)ÿ19,Kennebecasis Valley Blue Knightsÿ49,Usher Miller,7:00 PM
"Fri,Oct. 3",Oromocto Bluesÿ0,Fredericton Black Katsÿ37,Scotia Pk South,7:00 PM
"Fri,Oct. 3",Rothesay Redhawksÿ17,cole Louis-J.-Robichaud Patriotesÿ20,Rocky Stone,7:00 PM
"Fri,Oct. 31",Moncton Purple Knightsÿ8,Saint John Greyhoundsÿ33,Canada Games,7:00 PM
"Fri,Oct. 31",Rothesay Redhawksÿ0,Harbour View Vikingsÿ46,Emera (aka Shamrock),7:00 PM
"Fri,Sep. 12",Tantramar Regional Titansÿ16,Harrison Trimble Trojansÿ42,Woody Hayes,7:00 PM
"Fri,Sep. 12",Kennebecasis Valley Blue Knightsÿ16,Fredericton Black Katsÿ20,Scotia Pk South,7:00 PM
"Fri,Sep. 12",Saint John Greyhoundsÿ42,Oromocto Bluesÿ7,L. Washburn,7:00 PM
"Fri,Sep. 12",St. Malachy's Memorial Saintsÿ36,Ecole Sainte-Anne Castors (Beavers)ÿ7,Scotia Pk North,7:00 PM
"Fri,Sep. 19",Riverview Royalsÿ24,L'Odyssee Olympiensÿ8,LOD Field,7:00 PM
"Fri,Sep. 19",Saint John Greyhoundsÿ26,Kennebecasis Valley Blue Knightsÿ0,Usher Miller,7:00 PM
"Fri,Sep. 19",Ecole Sainte-Anne Castors (Beavers)ÿ6,Leo Hayes Lionsÿ42,Scotia Pk North,7:00 PM
"Fri,Sep. 19",Fredericton Black Katsÿ23,St. Malachy's Memorial Saintsÿ6,Canada Games,7:00 PM
"Fri,Sep. 19",Hampton Huskiesÿ0,Harbour View Vikingsÿ77,Emera (aka Shamrock),7:00 PM
"Fri,Sep. 26",Moncton Purple Knightsÿ21,Mathieu-Martin Matadorsÿ16,MM Field,7:00 PM
"Fri,Sep. 26",Fredericton Black Katsÿ20,Saint John Greyhoundsÿ37,Canada Games,7:00 PM
"Fri,Sep. 26",Kennebecasis Valley Blue Knightsÿ6,Leo Hayes Lionsÿ39,Scotia Pk North,7:00 PM
"Fri,Sep. 26",Oromocto Bluesÿ28,Ecole Sainte-Anne Castors (Beavers)ÿ27,Scotia Pk South,7:00 PM
"Fri,Sep. 5",Harrison Trimble Trojansÿ22,L'Odyssee Olympiensÿ19,LOD Field,7:00 PM
"Fri,Sep. 5",Leo Hayes Lionsÿ29,Oromocto Bluesÿ7,L. Washburn,1:00 PM
"Fri,Sep. 5",Ecole Sainte-Anne Castors (Beavers)ÿ0,Saint John Greyhoundsÿ36,Canada Games,7:00 PM
"Fri,Sep. 5",St. Malachy's Memorial Saintsÿ20,Kennebecasis Valley Blue Knightsÿ16,Usher Miller,7:00 PM
"Fri,Sep. 5",Hampton Huskiesÿ26,cole Louis-J.-Robichaud Patriotesÿ29,Rocky Stone,7:00 PM
"Sat,Nov. 1",St. Malachy's Memorial Saintsÿ9,Riverview Royalsÿ19,Riverview,1:00 PM
"Sat,Nov. 1",cole Louis-J.-Robichaud Patriotesÿ0,St. Stephen Spartansÿ62,St. Stephen,7:00 PM
"Sat,Nov. 8",Saint John Greyhoundsÿ3,Riverview Royalsÿ21,Rocky Stone,6:00 PM
"Sat,Nov. 8",St. Stephen Spartansÿ38,Harbour View Vikingsÿ22,Rocky Stone,1:00 PM
"Sat,Oct. 11",Mathieu-Martin Matadorsÿ10,Riverview Royalsÿ21,Riverview,1:00 PM
"Sat,Oct. 11",Simonds Seabeesÿ14,St. Stephen Spartansÿ50,St. Stephen,1:00 PM
"Sat,Oct. 11",James M. Hill Tommiesÿ23,Rothesay Redhawksÿ0,Arthur Miller,1:00 PM
"Sat,Oct. 11",Harbour View Vikingsÿ48,cole Louis-J.-Robichaud Patriotesÿ0,Rocky Stone,7:00 PM
"Sat,Oct. 18",Riverview Royalsÿ37,Tantramar Regional Titansÿ7,DA Jardine,1:00 PM
"Sat,Oct. 18",cole Louis-J.-Robichaud Patriotesÿ26,Simonds Seabeesÿ21,M&J Upward (Simonds),1:00 PM
"Sat,Oct. 18",Harbour View Vikingsÿ53,Rothesay Redhawksÿ0,Arthur Miller,1:00 PM
"Sat,Oct. 18",St. Stephen Spartansÿ64,Hampton Huskiesÿ13,Hampton,1:00 PM
"Sat,Oct. 25",L'Odyssee Olympiensÿ14,Riverview Royalsÿ38,Riverview,1:00 PM
"Sat,Oct. 25",Rothesay Redhawksÿ28,Simonds Seabeesÿ21,M&J Upward (Simonds),1:00 PM
"Sat,Oct. 25",James M. Hill Tommiesÿ14,cole Louis-J.-Robichaud Patriotesÿ20,Rocky Stone,7:00 PM
"Sat,Oct. 4",Harrison Trimble Trojansÿ23,Riverview Royalsÿ21,Riverview,1:00 PM
"Sat,Oct. 4",St. Stephen Spartansÿ29,James M. Hill Tommiesÿ7,MVHS,1:00 PM
"Sat,Oct. 4",Simonds Seabeesÿ40,Hampton Huskiesÿ0,Hampton,1:00 PM
"Sat,Sep. 13",L'Odyssee Olympiensÿ46,Bernice MacNaughton Highlandersÿ0,McKenna Field (BMHS),1:00 PM
"Sat,Sep. 13",cole Louis-J.-Robichaud Patriotesÿ6,St. Stephen Spartansÿ48,St. Stephen,1:00 PM
"Sat,Sep. 13",Rothesay Redhawksÿ50,Hampton Huskiesÿ7,Hampton,1:00 PM
"Sat,Sep. 13",James M. Hill Tommiesÿ0,Harbour View Vikingsÿ54,Emera (aka Shamrock),3:00 PM
"Sat,Sep. 20",Moncton Purple Knightsÿ21,Tantramar Regional Titansÿ15,DA Jardine,1:00 PM
"Sat,Sep. 20",Simonds Seabeesÿ7,Rothesay Redhawksÿ0,Arthur Miller,11:00 AM
"Sat,Sep. 20",cole Louis-J.-Robichaud Patriotesÿ13,James M. Hill Tommiesÿ15,MVHS,1:00 PM
"Sat,Sep. 27",L'Odyssee Olympiensÿ24,Tantramar Regional Titansÿ15,DA Jardine,1:00 PM
"Sat,Sep. 27",Harbour View Vikingsÿ54,Simonds Seabeesÿ0,M&J Upward (Simonds),1:00 PM
"Sat,Sep. 27",Rothesay Redhawksÿ0,St. Stephen Spartansÿ45,St. Stephen,1:00 PM
"Sat,Sep. 27",Hampton Huskiesÿ0,James M. Hill Tommiesÿ47,MVHS,1:00 PM
"Sat,Sep. 6",Bernice MacNaughton Highlandersÿ7,Riverview Royalsÿ49,Riverview,1:00 PM
"Sat,Sep. 6",James M. Hill Tommiesÿ3,Simonds Seabeesÿ27,M&J Upward (Simonds),1:00 PM
"Sat,Sep. 6",St. Stephen Spartansÿ26,Harbour View Vikingsÿ47,Emera (aka Shamrock),3:00 PM
"Thu,Oct. 16",L'Odyssee Olympiensÿ18,Moncton Purple Knightsÿ16,Ed Skiffington (MHS),7:00 PM
"Thu,Oct. 2",Mathieu-Martin Matadorsÿ7,L'Odyssee Olympiensÿ24,Rocky Stone,7:00 PM
"Thu,Oct. 2",Moncton Purple Knightsÿ39,Bernice MacNaughton Highlandersÿ6,McKenna Field (BMHS),7:00 PM
"Thu,Sep. 11",Riverview Royalsÿ21,Moncton Purple Knightsÿ2,Ed Skiffington (MHS),7:00 PM
"Thu,Sep. 18",Bernice MacNaughton Highlandersÿ7,Mathieu-Martin Matadorsÿ42,MM Field,7:00 PM
"Thu,Sep. 25",Bernice MacNaughton Highlandersÿ7,Harrison Trimble Trojansÿ36,Woody Hayes,7:00 PM
"Thu,Sep. 4",Tantramar Regional Titansÿ10,Mathieu-Martin Matadorsÿ30,MM Field,7:00 PM
